"week_start","KW","year","KW_Y","TS_NaturalDisasters_norm","TS_NaturalDisasters_gt","TS_EUPolitics_norm","TS_EUPolitics_gt","TS_USPolitics_norm","TS_USPolitics_gt","TS_MilitaryGeopolitics_norm","TS_MilitaryGeopolitics_gt","TS_UkraineWar_norm","TS_UkraineWar_gt","TS_EURightwing_norm","TS_EURightwing_gt","TS_Diplomacy_norm","TS_Diplomacy_gt","TS_IsraelGaza_norm","TS_IsraelGaza_gt","TS_ClimateFires_norm","TS_ClimateFires_gt","TS_Accidents_norm","TS_Accidents_gt","TS_Elections_norm","TS_Elections_gt","NYT_AsiaGeopolitics_norm","NYT_AsiaGeopolitics_gt","NYT_UkraineWar_norm","NYT_UkraineWar_gt","NYT_CrimeJustice_norm","NYT_CrimeJustice_gt","NYT_Accidents_norm","NYT_Accidents_gt","NYT_SyriaPolitics_norm","NYT_SyriaPolitics_gt","NYT_GlobalLeaders_norm","NYT_GlobalLeaders_gt","NYT_EconomicCrisis_norm","NYT_EconomicCrisis_gt","NYT_IsraelGaza_norm","NYT_IsraelGaza_gt","NYT_ReligionCulture_norm","NYT_ReligionCulture_gt"
2024-01-14,2,2024,"KW_2_2024",33.0467642842545,10,31.192455017158,13.8,19.3610503394098,1,100,32.75,31.102779518843,23.4,12.9854275774368,11,36.2029284790653,17,31.1901999365532,24.75,19.0913184875105,17,26.1248873809438,13.8,21.9853644992612,0.5,54.2981268373821,8.6,42.4612191654416,10,53.9450840688107,13.2,47.760271895323,28,25.5346630599329,3,16.9108552677038,2.8,53.4490029754126,9.4,43.1874676394941,17.5,10.7350045612887,11.2
2024-01-21,3,2024,"KW_3_2024",47.6472667169935,11,58.79438840429,13.8,22.4701628383759,1.2,49.8435808866786,24.75,31.1660388337226,18.6,30.6544666901476,10.4,62.4696725107382,15,39.1895438873397,27,32.5101873965357,26.6666666666667,36.5167194023232,13.4,30.3058211033438,0.5,47.8235262303876,9,40.0706297809675,12.75,45.890933566712,19.6,55.4625044424449,26.8,18.8335952855496,3,27.8495725654993,3.4,55.786294221516,11.2,47.5083309219476,17.5,14.3951490455213,11.8
2024-01-28,4,2024,"KW_4_2024",38.5753464538328,8.6,58.3765286072936,15.6,26.3110832537787,0.8,56.3827351475661,21,34.1553468012373,20.4,28.8261131470503,10,51.3998008211353,14.6,44.7169299468368,28.25,42.736370209453,13.6666666666667,16.564240746781,12.4,28.270888862369,0.5,48.4360051209532,9.8,45.9770622149961,11.25,32.1105926739984,17.6,48.0114598154405,28.4,23.8990794221849,5,28.6427660998484,2.6,52.3208936570015,11.2,47.9189482731254,15.75,15.1066029670425,12.4
2024-02-04,5,2024,"KW_5_2024",58.2662078343199,10,81.4316187730515,14.2,38.7653622465862,1.4,39.026764653983,22.25,38.0258071478578,27.2,30.9210547156407,9.2,43.248676456675,12.8,37.8581547530885,26,51.531355794857,13.6666666666667,22.436211468299,11.4,50.2142928363442,0.5,46.9248405577359,9.2,59.7656802684413,35.25,41.214927546542,20,47.32379692136,28.6,20.6804115127249,3.4,25.332135960456,3.2,48.7205838942954,10.8,41.6827724854891,15.5,13.8358860290181,12.6
2024-02-11,6,2024,"KW_6_2024",29.1947234777546,9,55.4276946210619,15.4,46.0317065793379,1.4,41.1875868847997,30.5,67.3725121077639,30.8,27.3451816486355,9,33.2127337040353,16.4,55.6535854444357,24.5,38.0214111843844,11.6666666666667,30.1164911332445,8.8,31.7797029688725,0.75,38.7890054478765,8.4,64.0396743920875,20.5,41.7389785948023,17.6,57.5264909532585,26.4,21.9014117482858,2.8,43.1770880197437,3.4,49.8996185413804,13.4,46.7973719976518,17,14.1270861300932,21.2
2024-02-18,7,2024,"KW_7_2024",36.4954839033187,10.4,64.7633356898535,23.6,20.7726431258154,1,46.3516182276169,22.75,72.708047932925,31.8,25.2439535507113,11.2,50.7206768241988,17.6,27.7999929698101,20.5,64.2373904113207,13.6666666666667,37.2466839920008,6.6,21.6397287790055,0.25,45.4079431547154,9.2,68.7673991909323,18,39.483521837883,19.2,51.2394579805491,25,18.3294091771652,2.8,30.2057485192633,4.2,73.9023465190881,12,53.4504271430691,14,14.5278290370381,13.4
2024-02-25,8,2024,"KW_8_2024",49.7295984329588,9.4,68.8081205714068,17,22.8817566499262,0.8,33.7012571584645,32,41.7137298066178,30,24.866941492198,8.8,30.0093864505335,18.2,28.6278919195029,25,39.6730187108555,12.6666666666667,33.9380750785413,6.8,39.3037680364444,0.5,43.8792167472423,9.6,39.237604622666,14.75,34.8696504723914,18.4,56.506547772872,25,19.9135912152228,3,23.9499494339869,3.2,51.6905976593705,12.4,38.1533743103372,19.5,15.149378891466,13.2
2024-03-03,9,2024,"KW_9_2024",44.2542138964287,9.2,68.5961378745036,21.6,39.6113850944478,1.4,44.0327014994308,31.75,38.6276498055606,27.4,14.9249005942465,9.2,36.033729973301,18.6,34.4369352504478,25.25,33.8711261841628,13,40.4073612268966,8.2,47.6073091087054,0.5,35.9401811796304,12,42.3945141272974,12.5,44.2483274250598,22,36.9256494464774,28,16.0804310183153,2.8,21.1525642496989,3.6,81.1925045878104,12.4,35.9710648285129,18,13.3567016647744,12.8
2024-03-10,10,2024,"KW_10_2024",33.9963287575038,9.2,50.8412654454011,18.2,21.2317605223361,0.8,45.2489370574709,23.5,51.0562115467841,32,28.109938633902,8.8,26.9852889204311,23.6,30.1158588592595,22.25,26.7513864079306,19.3333333333333,36.0012982061803,7,48.2931980871388,0.5,37.080878785214,9.2,63.5581795710651,13.5,40.4009442133164,15,53.5337408247296,26.2,17.1700110668867,2.6,27.6889833137521,2.8,49.8568174987185,12.4,53.2701329141536,16.75,11.9017917939344,12.8
2024-03-17,11,2024,"KW_11_2024",55.5547234322943,9.2,82.9691462935607,16.4,28.7340566236003,1,35.0497452253271,31.5,72.4038878923891,39.4,28.3218169275513,8.6,44.2111281813552,23.6,38.2345944590424,20.25,57.647021921176,13.3333333333333,24.3682908461947,7,31.9428839174224,0.75,37.2700106695282,11.6,64.1003391693617,18,58.3189389472213,16,51.7733306281169,26,21.0759705825151,2.6,33.7501234089348,3,56.5682323422268,11.8,46.0984100679001,15,13.9606983305437,14.2
