"week_start","TS_NaturalDisasters_norm_cov","TS_NaturalDisasters_gt","TS_EUPolitics_norm_cov","TS_EUPolitics_gt","TS_USPolitics_norm_cov","TS_USPolitics_gt","TS_MilitaryGeopolitics_norm_cov","TS_MilitaryGeopolitics_gt","TS_UkraineWar_norm_cov","TS_UkraineWar_gt","TS_EURightwing_norm_cov","TS_EURightwing_gt","TS_Diplomacy_norm_cov","TS_Diplomacy_gt","TS_IsraelGaza_norm_cov","TS_IsraelGaza_gt","TS_ClimateFires_norm_cov","TS_ClimateFires_gt","TS_Accidents_norm_cov","TS_Accidents_gt","TS_Elections_norm_cov","TS_Elections_gt","NYT_Diplomacy_norm_cov","NYT_Diplomacy_gt","NYT_AsiaGeopolitics_norm_cov","NYT_AsiaGeopolitics_gt","NYT_UkraineWar_norm_cov","NYT_UkraineWar_gt","NYT_IntLawCourts_norm_cov","NYT_IntLawCourts_gt","NYT_CrimeJustice_norm_cov","NYT_CrimeJustice_gt","NYT_Accidents_norm_cov","NYT_Accidents_gt","NYT_SyriaPolitics_norm_cov","NYT_SyriaPolitics_gt","NYT_GlobalLeaders_norm_cov","NYT_GlobalLeaders_gt","NYT_EconomicCrisis_norm_cov","NYT_EconomicCrisis_gt","NYT_IsraelGaza_norm_cov","NYT_IsraelGaza_gt","NYT_ReligionCulture_norm_cov","NYT_ReligionCulture_gt","NYT_Venezuela_norm_cov","NYT_Venezuela_gt"
2024-03-24,40.1029482122939,9,37.4050377795498,16.6,20.3588657451207,1,12.9643315237458,19.75,59.7980362714968,27.6,14.0505541733901,6.4,34.6262864854032,13.8,36.3935689944595,20.5,63.0117853902395,18.3333333333333,58.4754023511132,8.2,35.403203777136,0.25,53.5363623940729,13.8,31.4882660094774,10.8,51.9724898878838,14.75,72.0257132708778,15.4,59.8869442854229,15.4,56.3660041463339,25.8,15.2997540335343,2.6,19.3711840318596,3,56.2290129940335,10.2,36.3156313385145,13.5,19.739908650935,24,41.2815163596289,3
2024-03-31,72.2607173839554,9.8,32.517156609027,16.4,13.0116576833654,0.8,43.7340518479392,29.25,28.7593438372993,24.2,20.1060612776984,6.2,47.2314335484482,10.8,77.290490984804,23.5,64.5792814047703,13.6666666666667,37.4830822201804,8.2,22.0833489976861,1.25,48.9556441695174,10.8,37.3253886356506,10.2,53.5260105315554,12.25,69.9193108680301,14.4,36.3220688307393,14.4,83.7325567880356,26.4,14.7114543583945,2.8,15.0968828737335,2.6,56.543290320054,10.8,54.8551533458534,16.5,14.8741589448103,16.2,28.81237320487,2.6
2024-04-07,74.8568790093641,10.4,50.539644110258,16.2,22.5982165167295,0.8,52.5295577292143,24,51.5742461096806,21,28.8743047019662,9,35.6305564731774,14.2,45.9027452220099,26.75,44.6880658409661,14.6666666666667,31.2909426849039,8.8,30.2747124732057,0.5,43.5519780907482,14.2,40.5807039313741,18.4,38.4720867922514,10.25,62.7632014114423,16.6,38.9880559363246,16.6,63.5233354069454,24.8,15.8125052507529,3.2,22.4046245543291,2.6,49.9790945367577,14.4,57.7870888133107,16.5,19.7220580504037,13.2,27.1396186390866,2.6
2024-04-14,63.7324001150024,13,65.3002716003575,16.6,18.0160123844724,1,74.2427196928874,21.25,56.9279790096847,18.6,15.2694715780759,7.8,43.1661010771979,15.4,79.235573772385,53.75,73.8847629894812,33.6666666666667,28.0092691152797,7.4,22.7897905856831,0.5,45.156629407983,15.4,38.9844731704795,11.8,57.9366618448511,10.75,45.5374573992556,18.2,37.4311361642665,18.2,48.5220200204041,25.6,15.1247512981705,4.6,15.9229161790486,3.4,50.3998331015766,15,71.2482943045479,22,15.5747601690323,11.8,29.4972312791697,3.4
2024-04-21,51.1167537387318,10.2,74.4170082805197,16.6,43.0392133166558,1,44.3825721635927,19.5,34.8142907461092,19.8,27.1874645796298,8.4,62.4886748183148,13.2,48.5616464663586,20.75,25.7099518492497,11.3333333333333,30.2696881684797,6.8,20.5867194599888,0.5,45.2651064615536,13.2,36.8403670391281,12.2,48.0435158324512,11.5,61.3850358299467,18.2,40.8149065485845,18.2,54.9576389335779,27.8,11.4702913548654,3,10.1089409149455,3,53.1095837623538,23.2,34.9055405641837,22.5,14.5388097792246,12.4,22.3788048096128,3
2024-04-28,69.2641736402514,10.4,41.8752916785337,16.6,12.9452174279626,0.8,31.4806059368551,16.5,29.4764332854679,20,9.92829476647174,7.2,69.5912884598439,12,51.1975946167287,22,34.2695465067231,27.3333333333333,25.061292576819,8.2,22.4924314536892,0.5,51.4657899463141,12,21.2740820212327,11.8,25.9388142771274,11.5,50.5924668413588,19,30.3196765159753,19,48.4688037624412,26,12.2204375499233,3.2,11.9867847300077,2.8,43.2400164753386,31,37.8879885134836,30,14.7920734096984,12.2,17.5717614168217,2.8
2024-05-05,57.6371838743566,10.2,36.0562488121841,19.2,17.5571552963857,0.8,35.380187246432,20,53.9828320121553,26.2,16.6533664951966,7,43.9985042146851,10.2,55.6941765250257,29.5,29.1769447881686,15.6666666666667,23.4951601322801,6.4,18.9201276247029,1,49.5527177976348,10.2,51.1533421511688,11.6,53.0850779759094,17.75,48.6685283035576,16.4,32.749262287312,16.4,59.4646813491818,26.2,14.3790879471161,3,25.0503537645539,3.2,59.7504706842574,17.4,52.2065532930085,30,16.1441984929357,12.6,53.5197217917166,3.2
2024-05-12,51.8077556628851,12.2,47.0079914386369,19.4,19.7987069998377,0.8,19.4343142139986,18.5,42.321293430077,21.8,24.0827414130937,8.6,79.9980022438204,12.8,34.6343616034143,30.5,72.8159005335079,20,30.0236009704317,10.8,30.6936758509784,0.75,59.3146093213394,12.8,42.9101529629203,10.8,84.3781682138875,13.25,67.6758853822909,15.4,55.7290469913138,15.4,58.2087571763629,27,14.9645655771332,2.6,22.6281137984707,2.8,63.2942977075899,14.6,44.1992492384893,22.75,15.8472966034493,13.2,35.2696961216947,2.8
2024-05-19,67.021364965725,9.8,27.2052942492865,19.8,21.1915456691197,0.8,42.6238220735521,21.25,23.6875228786045,23.4,14.350924452792,7.2,67.5203657112313,14.8,42.1311468076029,28.25,26.246341346568,13.6666666666667,57.6751626755424,21,30.2132633083781,0.75,100,14.8,45.3416139536093,14.4,79.9608828244387,11.25,100,17.2,41.4770512639167,17.2,62.1932701477066,29,19.857053374815,2.2,32.0678702553374,3.4,79.76681731529,11.8,47.1790223552506,17.5,21.1415079968237,13.6,39.047513329267,3.4
2024-05-26,67.8598955269488,8.2,32.8818557104836,20.8,24.5035836643196,2,41.3938063954664,24.25,48.4888667606133,24.4,23.2910760099999,7.6,41.3853578187295,12,47.896796874012,41.5,44.4095193664755,11.3333333333333,25.4767242085296,7.2,25.2627904326845,1.75,29.0663577919528,12,40.7586251999208,10,48.9263759748112,10.5,41.4979600181122,12.4,23.389961938651,12.4,66.5086213616349,28.6,9.35459450196166,2,18.4920195023575,7.4,47.0504215657256,10.8,32.1999245274413,23.75,11.3723220608007,20.6,29.9584150942764,7.4
